"","paperName","researcher","journal","citation","year"
"189","Are the monitors over-monitored: Evidence from Corruption, Vigilance, and Lending in Indian Banks","A Banerjee, S Cole, E Duflo","MIMEO, MIT, 2008","7","2008"
"190","Bank competition in India","AV Banerjee, S Cole, E Duflo","Sixth Annual Conference on Indian Economic Policy Reform, Stanford Center<U+00A0>…, 2005","7","2005"
"191","Banking Reform in India","S Cole, E Duflo","India Policy Forum 1, 277-332, 2004","7","2004"
"192","How Much Should We Trust Differences-in-Differences Estimation?","M Bertrand, E Duflo, S Mullainathan","NBER Working Paper 8841, 2002","7","2002"
"193","How much do existing borrowers value Microfinance? Evidence from an experiment on bundling Microcredit and insurance","A Banerjee, E Duflo, R Hornbeck","Economica 85 (340), 671-700, 2018","6","2018"
"194","Does microfinance foster business growth? The importance of entrepreneurial heterogeneity","A Banerjee, E Breza, E Duflo, C Kinnan","Unpublished manuscript, Mass. Inst. Technology, Cambridge, MA, 2014","6","2014"
"195","Nutrition, iron deficiency anemia, and the demand for iron-fortified salt: evidence from an experiment in rural Bihar","A Banerjee, S Barnhardt, E Duflo","Discoveries in the Economics of Aging, 343-384, 2013","6","2013"
"196","Do labor market policies have displacement effect? Evidence from a clustered random experiment","B Crépon, E Duflo, M Gurgand, R Rathelot, P Zamora","Unpublished Manuscript, Centre de Recherche en économie et Statistique<U+00A0>…, 2011","6","2011"
"197","Making police reform real: The Rajasthan experiment","A Banerjee, E Duflo, D Keniston, N Singh","mimeo, Yale University, 2011","6","2011"
"198","Handbook of development economics","MA Kose, E Prasad, K Rogoff, SJ Wei, D Rodrik, MR Rosenzweig","Financial globalization and economic policies 5, 4283-4359, 2010","6","2010"
"199","Use of randomization in the evaluation of development","E Duflo, M Kremer","Reinventing foreign aid, 93-120, 2008","6","2008"
"200","Education and HIV/AIDS Prevention: Evidence from a Randomized Evaluation in Western Kenya; Background Paper to the 2007 World Development Report","EC Duflo","World Bank, Development Economics, Office of the Senior Vice President and<U+00A0>…, 2006","6","2006"
"201","R. & Tulloch, C.(2011). Comparative Cost-Effectiveness Analysis to Inform Policy in Developing Countries: A General Framework with Applications for Education","I Dhaliwal, EG Duflo, R Glennerster","J-PAL Working Paper, 0","6",NA
"202","i Kremer, M.(2012). School governance, teacher incentives, and pupil-teacher ratio: experimental evidence from Kenyan primary schools","E Duflo, P Dupas","NBER Working Paper 17939, 0","6",NA
"203","Poor Choices: Poverty from the Ground Level","T Besley","Foreign Aff. 91, 160, 2012","5","2012"
"204","Towards an emissions trading scheme for air pollutants in India: A Concept Note","E Duflo, R Pande, M Greenstone, N Ryan","eSocialSciences Working Papers, 2010","5","2010"
"205","Growth theory through the lens of development","AV Banerjee, E Duflo","na, 2005","5","2005"
"206","Monitoring works: getting teachers to come to school","R Hanna, E Duflo","National Bureau of Economic Research, 2005","5","2005"
"207","Efficiency and rent seeking in local governments: Evidence from randomized policy experiments in India","R Chattopadhyay, E Duflo, G Fischer","Workingpaper, MIT, 2004","5","2004"
"208","Kremer (2007)","E Duflo, P DUpas","Using Randomization in Development Economics Research: A Toolkit, 0","5",NA
"209","An introduction to the “Handbook of Field Experiments.”","AV Banerjee, E Duflo","Handbook of economic field experiments, 1-24, 2017","4","2017"
"210","Randomized controlled trials, development economics and policy making in developing countries","E Duflo","World Bank Conference: The State of Economics, The State of the World<U+00A0>…, 2016","4","2016"
"211","Priced Out: Aggregate Income Shocks and School Pricing in the Chilean Voucher Market","B Feigenberg","MIT. http://economics. mit. edu/files/9300, 2015","4","2015"
"212","Unpacking the Effects of Conditional Cash Transfer Programs: Experimental Evidence from Morocco","N Benhassine, F Devoto, E Duflo, P Dupas, V Pouliquen","Unpublished manuscript, 2012","4","2012"
"213","Arm & kansrijk","AV Banerjee, E Duflo","Nieuw Amsterdam, 2012","4","2012"
"214","Marry for What? Caste and Mate Selection in Modern India","E Duflo, A Banerjee, M Ghatak, J Lafortune","eSocialSciences Working Papers, 2009","4","2009"
"215","The experimental approach to development economics","V Abhijit, A Banerjee, E Duflo","NBER Working Paper 14467, 2008","4","2008"
"216","Do firms want to borrow more? Testing credit constraints using a directed lending program. MIT working paper","A Banerjee, E Duflo, AV Banerjeet, E Dufio",NA,"4","2008"
"217","Are the Monitors Over-Monitored? Evidence from Corruption and Lending in Indian Banks","A Banerjee, S Cole, E Duflo","Mimeo: MIT, 2006","4","2006"
"218","Remedying Education: Evidence from Two Randomized Experiments","AV Banerjee, S Cole, E Duflo, L Linden","in India,” NBER Working Paper, 2005","4","2005"
"219","Do Firms Want to Borrow More? Testing Credit Constraints Using a Directed Lending Program","E Duflo, AV Banerjee","Massachusetts Institute of Technology, 2004","4","2004"
"220","The Impact of Education on Fertility and Child Mortality: Do Fathers Really Matter Less than Mothers?","E Duflo, L Breierova","National Bureau of Economic Research, 2004","4","2004"
"221","A Case study of corruption: canal irrigation in South India","E Duflo","MIT. Unpublished, 2003","4","2003"
"222","Poverty Action Lab","E Duflo","American Economic Journal: Economic Policy 7 (3), 2015","3","2015"
"223","(Measured) Profit is Not Welfare: Evidence from an Experiment on Bundling Microcredit and Insurance","AV Banerjee, E Duflo, R Hornbeck","CEPR Discussion Paper No. DP10146, 2014","3","2014"
"224","Pensions, taxes and the budgetary process","P Diamond","The American Economist 57 (2), 146-153, 2012","3","2012"
"225","Paternalism versus Freedom?","E Duflo","Marshall Lectures, May.[Last accessed 25 Sep 2014.] Available from URL: www<U+00A0>…, 2012","3","2012"
"226","Radjasthan police performence and perception intervention","A Banerjee, R Chattopadhyay, E Duflo, D Keniston","Working paper J-Pal, 2009","3","2009"
"227","The Miracle of","A Banerjee, E Duflo, R Glennerster, C Kinnan",NA,"3","2009"
"228","How to Spend 50 Billion to Make the World a Better Place (Book Review)","E Duflo","Journal of Economic Literature 45, 2007","3","2007"
"229","Amyloid precursor protein neurotrophic properties as a target to cure Alzheimer’s disease","A Delacourte","European Neurological Disease, 29-30, 2006","3","2006"
"230","Education and HIV/AIDS Prevention: Evidence from a randomized evaluation in Western Kenya.” World Bank Policy Research Working Paper No","E Duflo, P Dupas, M Kremer, S Sinei",NA,"3","2006"
"231","Holding Teachers Accountable: Evidence from a Randomized Evaluation in India","E Duflo, R Hanna","Working Paper, MIT Poverty Action Lab, 2005","3","2005"
"232","Decentralization and political reservations in India: Some evidence","E Duflo","available at www//econ. ucsd. edu/seminars/Duflo% 20USCD_ presentation. pdf, 2003","3","2003"
"233","Intrahousehold Resource Allocation in C<U+00F4>te d’Ivoire","E Duflo, C Udry, A Deaton, S Khan, E Ligon, E Saez","Social Norms, Separate Accounts and Consumption Choices.” National Bureau of<U+00A0>…, 2003","3","2003"
"234","Women as Policy Makers","R Chattopadhyay, E Duflo","op. cit, 1427, 2003","3","2003"
"235","Reflection Without Rules: Economic Methodology and Contemporary Science Theory","D Hausman","Journal of Economic Literature 39 (3), 902, 2001","3","2001"
"236","C Kinnan (2010),‘The Miracle of Microfinance? Evidence from a Randomized Evaluation’","E Duflo, A Banerjee, R Glennerster","NBER, 0","3",NA
"237","Pourquoi Payer?","MA Bates, R Glennerster, K Gumede, E Duflo","Field Actions Science Reports. The journal of field actions, 2012","2","2012"
"238","Lack of Hope and the Persistence of Poverty","E Duflo","Marshall Lecture Series, 2012","2","2012"
"239","The (not so simple) economics of lending to the poor","A Banerjee, E Duflo","Massachusetts Institute of Technology, Cambridge, MA. http://ww w<U+00A0>…, 2011","2","2011"
"240","Computer-assisted learning: Evidence from a randomized experiment","A Banerjee, E Duflo, L Linden","Framed Field Experiments, 2011","2","2011"
"241","Poor Economics","AV Bennerjee, E Duflo","A Radical Rethinking of the Way to Fight Global Poverty. New York: Public<U+00A0>…, 2011","2","2011"
"242","Re-evaluating learning","E Duflo","NBER Reporter Online, 12-15, 2009","2","2009"
"243","Experiments, Science and the Fight Against Poverty","E Duflo","Inaugural lecture at College de France 1, 2009, 2009","2","2009"
"244","Powerful Women: Does Exposure Reduce Bias?","P Topalova, E Duflo, R Pande, L Beaman, R Chattopadhyay","eSocialSciences Working Papers, 2008","2","2008"
"245","The Impact of Reservation in the Panchayati Raj","R Chattopadhyay, E Duflo","Reservation for Women, 245-269, 2008","2","2008"
"246","Aging and death under a dollar a day","E Duflo, AV Banerjee","National Bureau of Economic Research, 2007","2","2007"
"247","Chapter61usingrandomizationindevelopmenteconomicsresearch: Atoolkit","E Duflo, R Glennerster, M Kremer","Handbook ofDevelopmentEconomics 4, 2006","2","2006"
"248","How Much Should We Trust Differences-in-Differences Estimates?","S Mullainathan, M Bertrand, E Duflo","National Bureau of Economic Research, 2002","2","2002"
"249","Calcutta","R Chattopadhyay, E Duflo, WTD Acemoglu, A Banerjee, MG Dastidar, ...",NA,"2","2001"
"250","Women as Policy Makers: Evidence from a India-Wide Randomized Policy Experiment","E Duflo, R Chattopadhyay","National Bureau of Economic Research, 2001","2","2001"
"251","Public Economics","L Economics, M Bertrand, E Duflo, S Mullanaithan, HMS We","Health Economics, and the Economics of Education have, 2000","2","2000"
"252","Reputation effects and the limits of contracting: A study of the Indiam software industry. Department of Economics, Massachussetts Institute of Technology","AV Banerjee, E Duflo","Working Paper, 2000","2","2000"
"253","Essays in empirical development economics","E Duflo","Massachusetts Institute of Technology, 1999","2","1999"
"254","Industrial Restructuring in Russia. Early Reactions of Firms to the Shock of Liberalization","C Senik-Leygonie, E Duflo","DELTA Working Papers, 1995","2","1995"
"255","Abhijit Banerjee","E Duflo, S Mullainathan, D Acemoglu","Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty, 0","2",NA
"256","Supplementary Material to","E Duflo, P Dupas, M Kremer",NA,"2",NA
"257","P. & Kremer, M.(2008). Peer Effects, Class Size, and Teacher Incentives: Evidence from a Randomized Evaluation in Kenya","ED Duflo",NA,"2",NA
"258","Can Microfinance Unlock a Poverty Trap for Some Entrepreneurs?","A Banerjee, E Breza, E Duflo, C Kinnan","National Bureau of Economic Research Working Paper Series, 2019","1","2019"
"259","Report of the Search Committee to Appoint a Data Editor for the AEA","E Duflo, H Hoynes","AEA Papers and Proceedings 108, 745, 2018","1","2018"
"260","Report of the Editor: American Economic Review","E Duflo","AEA Papers and Proceedings 108, 636-51, 2018","1","2018"
"261","American Economic Journal","A Banerjee, D Karlan, J Zinman, E Duflo, R Glennerster, C Kinnan, ...","Applied Economics 7 (1), 2015, 2015","1","2015"
"262","Deworming: An informed debate requires a careful look at the data","E Duflo, D Karlan","Retrieved December 16, 2015, 2015","1","2015"
"263","Esther Duflo","E Duflo",NA,"1","2014"
"264","La régulation sociale des risques de catastrophe: Ethnographie des quartiers périphériques de La Paz","F Nathan","Graduate Institute Publications, 2012","1","2012"
"265","Empirical essays on firm behavior in India","NNJ Ryan","Massachusetts Institute of Technology, 2012","1","2012"
"266","An Anthropological Way of Doing Economics","A Sinha","Economic and Political Weekly 46 (52), 33-35, 2011","1","2011"
"267","Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty","G McNicoll","Population and Development Review 37 (4), 796-797, 2011","1","2011"
"268","A Research Agenda for Development Economics","E Duflo","American Economic Association, Ten Years and Beyond: Economists Answer NSF's<U+00A0>…, 2011","1","2011"
"269","4. Repenser la lutte contre la pauvreté","E Duflo, C Montialoux","Regards croises sur l'economie, 59-62, 2011","1","2011"
"270","Poor Economics: A Radical Rethinking of the Way to Fight Global","A Banerjee, E Duflo","Global Public Affairs Books: Estados Unidos, 2011","1","2011"
"271","The Risk of Asking: Being Surveyed Can Affect Later Behavior","AP Zwane, J Zinman, E Van Dusen, W Pariente, C Null, E Miguel, ...","Proceedings of the National Academy of Sciences of the United States of<U+00A0>…, 2011","1","2011"
"272","Women as policy makers: Evidence from a randomized experiment","E Duflo, R Chattopadhyay","eSocialSciences Working Papers, 2010","1","2010"
"273","Pitfalls of Participatory Programs: Evidence from a randomized evaluation in education in India","R Banerji, S Khemani","American Economic Journal: Economic Policy 2 (1), 1-30, 2010","1","2010"
"274","Marry for What: Caste and Mate Selection in Modern India","J Lafortune, A Banerjee, E Duflo, M Ghatak","National Bureau of Economic Research, 2009","1","2009"
"275","Chaire Savoirs contre pauvreté. Année académique 2008-2009","E Duflo","La lettre du Collège de France, 5, 2009","1","2009"
"276","Pitfalls of Participatory Programs: Evidence from","AV Banerjee, R Banerji, E Duflo, R Glennerster, S Khemani",NA,"1","2008"
"277","The experimental approach to development economics","E Duflo, AV Banerjee","Centre for Economic Policy Research, 2008","1","2008"
"278","Pauvreté, accès au crédit et déterminants de la participation à un nouveau programme de micro crédit dans les zones rurales du Maroc.","B Crépon, F Devoto, E Duflo, W Parienté","Document de Travail, 2008","1","2008"
"279","Understanding Technology Adoption: Fertilizer in Western Kenya Evidence from Field Experiments (PRELIMINARY AND INCOMPLETE) April 14, 2006","E Duflo, M Kremer, J Robinson","MIT, NBER, CEPR and BREAD, 2006","1","2006"
"280","Bank financing in India","SA Cole, A Banerjee, E Duflo",NA,"1","2005"
"281","American Economic Association","SD Levitt","The Journal of Economic Perspectives 18 (1), 163-190, 2004","1","2004"
"282","The Impact of Education On Fertility and Child Mortality: Do Fathers Really Matter Less than Mothers? OECD Development Centre Working Paper, No. 217 (Formerly Webdoc No. 5).","L Breierova, E Duflo","OECD Publishing (NJ1), 2003","1","2003"
"283","Bureau for Research in Economic Analysis of Development","A Banerjee, E Duflo, K Munshi",NA,"1","2003"
"284","Does more Education for the Young increase the Wages of the Old? Evidence from School Construction in Indonesia","E Duflo",NA,"1","2000"
"285","Replication data for: What Does Reputation Buy? Differentiation in a Market for Third-Party Auditors","E Duflo, M Greenstone, R Pande, N Ryan","Inter-university Consortium for Political and Social Research (ICPSR), 2019","0","2019"
"286","Replication data for: Incentives Work: Getting Teachers to Come to School","E Duflo, R Hanna, SP Ryan","Inter-university Consortium for Political and Social Research (ICPSR), 2019","0","2019"
"287","Social and Emotional Learning Programs for Adolescents.","S Rajasekaran, J Reyes, V Alves, D Bloom, D Cicchetti, J Rappaport, ...","National Center on Education and the Economy.(NJ1) 20 (1), i-xxv, 2019","0","2019"
"288","‘Beating the Odds’ versus ‘Changing the Odds’: Poverty, Resilience, and Family Policy.","S Rajasekaran, J Reyes, J Pan, JF Zaff, AE Donlan, M Ungar, M Ungar, ...","The Victoria Institute for Education, Diversity and Lifelong Learning 27 (4<U+00A0>…, 2019","0","2019"
"289","Report of the Editor: American Economic Review","E Duflo","AEA Papers and Proceedings 109, 612-26, 2019","0","2019"
"290","HIV prevention among youth: A randomized controlled trial of voluntary counseling and testing for HIV and male condom distribution in rural Kenya","E Duflo, P Dupas, T Ginn, GM Barasa, M Baraza, V Pouliquen, V Sharma","PloS one 14 (7), 2019","0","2019"
"291","Consumer perceptions of price, quality, and value: A means-end model and synthesis of evidence","P Lillrank, B Abel-Smith, D Acemoglu, JA Robinson, J Aherne, A Whelton, ...","The Logics of Healthcare: The Professional’s Guide to Health System Science<U+00A0>…, 2018","0","2018"
"292","Misperceptions about immigration and support for redistribution","A Alesina, A Miano, S Stantcheva",NA,"0","2018"
"293","World Development Indicators. Online Database","AV Gevorkyan, L Abalkin, SY Witte, D Acemoglu, J Robinson, J Adam, ...","Transition Economies: Transformation, Development, and Society in Eastern<U+00A0>…, 2018","0","2018"
"294","Assessing Development Financial Institutions: A Public Interest Analysis","B Balkenhol, GA Akerlof, DAH Alamgir, B Armendariz, J Morduch, ...","Microfinance: Research, Debates, Policy 84 (3), 1-6, 2018","0","2018"
"295","This article has been accepted for publication and undergone full peer review but has not been through the copyediting, typesetting, pagination and proofreading process, which<U+00A0>…","S Liu, JH Zhang, DZ Liu, JX Zhang",NA,"0","2018"
"296","NAITRE study on the impact of conditional cash transfer on poor pregnancy outcomes in underprivileged women: protocol for a nationwide pragmatic cluster-randomised superiority<U+00A0>…","M Bardou, B Crépon, AC Bertaux, A Godard-Marceaux, A Eckman-Lacroix, ...","BMJ open 7 (10), e017321, 2017","0","2017"
"297","Deal with the Devil: The Successes and Limitations of Bureaucratic Reform in India","TS Rabie, SN Towfighian, C Clark, M Cammett, AV Banerjee, E Duflo, ...","Economic Research and International Relations Area 6 (9), 99-109, 2017","0","2017"
"298","Movies, Margins, and Marketing","A Banerjee, S Barnhardt, E Duflo","Insights in the Economics of Aging, 285, 2017","0","2017"
"299","Analysis and Forecast on the Potential of China’s Economic Growth","C Bai, Q Zhang, X Fei, J Zhao, M Wang, M Abramovitz, D Aigner, ...","A Research on China’s Economic Growth Potential 46 (1), 1-3, 2017","0","2017"
"300","DP11881 The Economist as Plumber","E Duflo",NA,"0","2017"
"301","Education Asymmetry: Brain v. Brawn in rural Communities","A Banerjee, E Duflo",NA,"0","2017"
"302","DP11761 E-governance, Accountability, and Leakage in Public Programs: Experimental Evidence from a Financial Management Reform in India","A Banerjee, E Duflo, C Imbert, S Mathew, R Pande",NA,"0","2017"
"303","DP11762 From Proof of Concept to Scalable Policies: Challenges and Solutions, with an Application","A Banerjee, R Banerji, J Berry, E Duflo, H Kannan, S Mukerji, M Shotland, ...",NA,"0","2017"
"304","Online Appendix for","E Duflo, M Greenstone, R Pande, N Ryan",NA,"0","2016"
"305","Global Value Chains in a Changing World","R Adams, F Daniel, R Aggarwal, E Isil, W Rohan, M Agostino, ...","WTO 94 (2), 87-346, 2016","0","2016"
"306","DP11530 Mainstreaming an Effective Intervention: Evidence from Randomized Evaluations of"" Teaching at the Right Level"" in India","A Banerjee, R Banerji, J Berry, E Duflo, H Kannan, S Mukerji, M Shotland, ...",NA,"0","2016"
"307","Minutes of the Meeting of the Executive Committee: Chicago, IL, April 24, 2015","PL Rousseau","American Economic Review 106 (5), 685-90, 2016","0","2016"
"308","DP11193 Can Iron-Fortified Salt Control Anemia? Evidence from Two Experiments in Rural Bihar","A Banerjee, S Barnhardt, E Duflo",NA,"0","2016"
"309","DP11123 Field Experiments on Discrimination","M Bertrand, E Duflo",NA,"0","2016"
"310","Impacto de la política social y ambiental en el consumo ante eventos climáticos extremos de precipitación en México","DA Román Cedillo","CATIE, Turrialba (Costa Rica), 2016","0","2016"
"311","The Long and Hidden History of the US in Somalia","R Abdulgani, FB Aboagye, I Abu Bakar, D Acemoglu, J Robinson, ...","The Economist 7 (1), 93-105, 2016","0","2016"
"312","Reform the International Monetary System","R Abdelal, MR Abouharb, D Cingranelli, M Abramovitz, M Abramovitz, ...","Global Finance and Development 46 (2), 1-18, 2015","0","2015"
"313","Urban agriculture, poverty, and food security: Empirical evidence from a sample of developing countries","G Carletto, M Ruel, P Winters, A Zezza, African Union, MA Aksoy, ...","The Journal of Development Studies 51 (8), 945-957, 2015","0","2015"
"314","Minutes of the Meeting of the Executive Committee Chicago, IL April 24, 2015","DC Bernanke, E Duflo, RS Rousseau, R Thaler, J Chevalier, D Laibson, ...",NA,"0","2015"
"315","Maryland Population Research Center","E Duflo, M Greenstone, R Guiteras, T Clasen",NA,"0","2015"
"316","250 Bibliography","A Appadurai, K DH, R Auty, RM Auty, R Bacon, W Eltis, D Baker, ...","Inclusive Growth, Development and Welfare Policy: A Critical Assessment 13<U+00A0>…, 2015","0","2015"
"317","A wide angle view of learning","E Duflo, J Berry, S Mukerji, M Shotland",NA,"0","2015"
"318","Hi<U+1EC3>u nghèo thoát nghèo","AV Banerjee, E Duflo","Tr<U+1EBB>, 2015","0","2015"
"319","MIT PLACEMENT OFFICER","E Duflo, ME Konomi, MT Dattilo, A Banerjee, B Olken","Macroeconomics (Undergraduate), 2015","0","2015"
"320","DP10338 Education, HIV, and Early Fertility: Experimental Evidence from Kenya","E Duflo, P Dupas, M Kremer",NA,"0","2015"
"321","DP10146 (Measured) Profit is Not Welfare: Evidence from an Experiment on Bundling Microcredit and Insurance","A Banerjee, E Duflo, R Hornbeck",NA,"0","2014"
"322","DP10123 Perceiving Prospects Properly","J Steiner, C Stewart",NA,"0","2014"
"323","August 2014","A Banerjee, E Duflo, R Hornbeck",NA,"0","2014"
"324","DP10120 Gossip: Identifying Central Individuals in a Social Network","A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson",NA,"0","2014"
"325","Happiness on tap: piped water adoption in urban Morocco","T Allan, J Bartram, S Cairncross, K Onda, J LoBuglio, J Bartram, ...","Water International 39 (5), 774-784, 2014","0","2014"
"326","DP9997 Under the Thumb of History? Political Institutions and the Scope for Action","A Banerjee, E Duflo",NA,"0","2014"
"327","Profit is Not Welfare: Evidence from an Experiment on Bundling Credit and Insurance","A Banerjee, E Duflo, R Hornbeck","J-Pal Working Paper, MIT, Cambridge MA, 2014","0","2014"
"328","DP9984 Estimating the impact of microcredit on those who take it up: Evidence from a randomized experiment in Morocco","B Crépon, F Devoto, E Duflo, W Parienté",NA,"0","2014"
"329","Minutes of the Meeting of the Executive Committee Chicago, IL April 17, 2014","E Duflo, S Durlauf, A Finkelstein, P Goldberg, C Goldin, G Imbens, ...",NA,"0","2014"
"330","19 EDITOR’S JOURNAL","A Banerjee, E Duflo",NA,"0","2014"
"331","MIT PLACEMENT OFFICER","B Olken, MB Shuster, E Duflo, D Donaldson, A Banerjee","Public Policy, 2014","0","2014"
"332","Financial Capability and the Poor: Are We Missing the Mark?","T Abdel Aziz, G Berg, M Abreu, V Mendes, D Acemoglu, S Johnson, ...","World Bank 10 (5), 151-204, 2013","0","2013"
"333","Volume 128 November 2013 Issue 4","JS HASTINGS, JM SHAPIRO, E DUFLO, M GREENSTONE, R PANDE, ...",NA,"0","2013"
"334","TURNING A SHOVE INTO A NUDGE? A “LABELED CASH TRANSFER” FOR EDUCATION Najy Benhassine Florencia Devoto","E Duflo, P Dupas, V Pouliquen",NA,"0","2013"
"335","Report of the Editor: American Economic Journal: Applied Economics","E Duflo","American Economic Review 103 (3), 719-22, 2013","0","2013"
"336","Minutes of the Meeting of the Executive Committee Chicago, IL April 12, 2013","HROH Hotel, JC Auerbach, E Duflo, R Fernandez, A Finkelstein, ...",NA,"0","2013"
"337","Poor Economics: Rethinking Poverty and the Ways to End it","U Qayyum","The Pakistan Development Review 52 (1), 89-91, 2013","0","2013"
"338","DP9437 The miracle of microfinance? Evidence from a randomized evaluation","A Banerjee, E Duflo, R Glennerster, C Kinnan",NA,"0","2013"
"339","Michael Greenstone Rohini Pande Nicholas Ryan October 2013","E Duflo","The Quarterly Journal of Economics 1499 (1545), 1499, 2013","0","2013"
"340","DO LABOR MARKET POLICIES HAVE DISPLACEMENT EFFECTS? EVIDENCE FROM A CLUSTERED RANDOMIZED EXPERIMENT* Bruno Crepon","E Duflo, M Gurgand, R Rathelot, P Zamora","The Quarterly Journal of Economics 531, 580, 2013","0","2013"
"341","Impacts of School-Based HIV Education on Reported Behavior and Knowledge of Adolescent Girls, Evidence from Cameroon","E Duflo, P Dupas, J Seban, E Huillery","Sciences Po publications, 2012","0","2012"
"342","DP9251 Do Labor Market Policies Have Displacement Effects? Evidence from a Clustered Randomized Experiment","B Crépon, E Duflo, M Gurgand, R Rathelot, P Zamora",NA,"0","2012"
"343","Marriage in modern India: does caste still matter for mate selection?","M Ghatak, A Banerjee, E Duflo, J Lafortune","South Asia@ LSE, 2012","0","2012"
"344","WEAC0105","P Dupas, V Sharma, G Makana, C Nekesa, E Duflo","Journal of the International Aids Society 15, 2012","0","2012"
"345","REPENSER LA PAUVRETé","M Raffinot","Politique étrangère 77 (3), 689-690, 2012","0","2012"
"346","Repenser la pauvreté","A Charpentier, D Meurs","Population (French Edition) 67 (4), 791-794, 2012","0","2012"
"347","Education and HIV/AIDS in western Kenya: results from a randomized trial assessing the long-term biological and behavioural impact of two school-based interventions","P Dupas, V Sharma, G Makana, C Nekesa, E Duflo","JOURNAL OF THE INTERNATIONAL AIDS SOCIETY 15, 148-149, 2012","0","2012"
"348","Report of the Editor: American Economic Journal: Applied Economics","E Duflo","American Economic Review 102 (3), 672-75, 2012","0","2012"
"349","American Economic Association","O Ashenfelter, A Krueger","The American Economic Review 102 (2), 617-642, 2012","0","2012"
"350","Repenser la pauvreté","G étienne","Revue Tiers Monde, 220-220, 2012","0","2012"
"351","Estimating the Benefit to Secondary School in Africa","E Duflo, P Dupas, M Kremer",NA,"0","2012"
"352","DP8874 On the Road: Access to Transportation Infrastructure and Economic Growth in China","A Banerjee, E Duflo, N Qian",NA,"0","2012"
"353","DOCUMENTO DE TRABAJO","A Banerjee, E Duflo, M Ghatak, J Lafortune","Santiago, 2012","0","2012"
"354","DP8869 Can Institutions Be Reformed from Within? Evidence from a Randomized Experiment with the Rajasthan Police","A Banerjee, R Chattopadhyay, E Duflo, D Keniston, N Singh",NA,"0","2012"
"355","Field Actions Science Reports","P Payer",NA,"0","2012"
"356","Les classes moyennes dans les pays émergents","M Pezzini, AV BANERJEE, E DUFLO, C JUMA, JL ROCCA","Problèmes économiques (Paris), 5-43, 2012","0","2012"
"357","Qu'est-ce que la classe moyenne dans les pays du Sud? Journal of Economic Perspectives","AV Banerjee, E Duflo","Problemes Economiques, 10, 2012","0","2012"
"358","DP8734 Women's Empowerment and Economic Development","E Duflo",NA,"0","2012"
"359","DP8770 The Diffusion of Microfinance","A Banerjee, AG Chandrasekhar, E Duflo, MO Jackson",NA,"0","2012"
"360","The Evolution of Economic Science: Macroeconomics, Growth, and Development","D Acemoglu, P Diamond, E Duflo, RE Hall, RM Solow","MIT150 Symposia Series, 2011","0","2011"
"361","開発経済学 Development Economics いまも 「飢餓」 に苦しむ多くの人たちを救うことはできるのでしょうか?(「新しい経済学」 へようこそ.)--(NEW ECONOMICS 新しい経済学)","A Banerjee, E Duflo","クーリエ<U+30FB>ジャポン 7 (12), 28-31, 2011","0","2011"
"362","The End of Hunger [with REPLY]","D RIEFF, CO GRADA, A BANERJEE, E DUFLO","Foreign Policy, 10-11, 2011","0","2011"
"363","The Big Question: Paths Out of the Wilderness: How to Sustain the Global Economic Recovery","E Duflo, C Eltschinger, M Gorbis, TA Wise, JK Sundaram, E Asmah, ...","World Policy Journal 28 (1), 3-7, 2011","0","2011"
"364","DP8326 Happiness on Tap: Piped Water Adoption in Urban Morocco","F Devoto, E Duflo, P Dupas, W Parienté, V Pons",NA,"0","2011"
"365","Happiness on Tap: Piped Water Adoption in Urban Morocco","V Pons, F Devoto, E Duflo, P Dupas, W Parienté",NA,"0","2011"
"366","Comment on"" Requiescat in Pace? The Consequences of High Priced Funerals in South Africa""","E Duflo","Explorations in the Economics of Aging, 373-376, 2011","0","2011"
"367","Accompagnement des jeunes dipl<U+00F4>més demandeurs d’emploi par des opérateurs privés de placement: les enseignements d’une évaluation","E Duflo, B Crépon, M Gurgand, R Rathelot, P Zamora","Dares, 2011","0","2011"
"368","4. Rethinking the Fight against Poverty","E Duflo, C Montialoux","Regards croisés sur l'économie, 59-62, 2011","0","2011"
"369","Burton, WN, 37 Butcher, KF, 12, 35, 138, 249 Butsch, WS, 118 Caan, B., 37n5, 329 Canning, H., 285n3","M Caraher, D Card, A Carden, WS Carlos Poston, FJ Chaloupka, ...","Economic Aspects of Obesity, 385, 2011","0","2011"
"370","Factors that influence farmers decisions to adopt soil and water conservation practices its relationship to poverty in the micro-watersheds Guior, Guatemala and Ocote Tuma<U+00A0>…","M Cano","CATIE, Turrialba (Costa Rica), 2011","0","2011"
"371","Calis, JCJ, 347 Campbell, JY, 97 Case, A., 351, 352, 357n3, 370n8 Cattell, RB, 211","H Aaron, JT Abaluck, JH Abbring, J Ameriks, C Azzi, PB Bach, LC Baker, ...","Explorations in the Economics of Aging, 381, 2011","0","2011"
"372","On the Road","A Banerjee, E Duflo, N Qian",NA,"0","2010"
"373","Front Matter:(& John Pencavel: Distinguished Fellow)(pp. ivi)","EG Mendoza, A Mian, A Sufi, F Trebbi, MA Muendler, SO Becker, ...","American Economic Review 100 (5), 2010","0","2010"
